"","results"
"135","Here are the extracted details:

1. **Kampong**: Serasa
2. **Price**: $120,000.00 (BND)
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Yes
	* Detached: Not mentioned
	* Semi-detached: Not mentioned
4. **Storey**: Single storey
5. **Status**: Under-construction
6. **Land_size**: Not explicitly mentioned (but implied to be relatively small)
7. **Floor_size**: 4 rooms (no explicit floor size mentioned)
8. **Beds**: 4 bedrooms
9. **Baths**: 2 toilets (no explicit bathrooms mentioned, but implies 1 bathroom + 1 guest or utility toilet)
10. **Land_type**: Kekal (in perpetuity)
11. **Additional Remark**:
	* Last unit available
	* Middle unit B"
"136","Here are the extracted details:

1. **Kampong**: Kasat
2. **Price**: $130,000.00
3. **Type**:
	* Apartment: No mention
	* Bungalow: Yes (semi-detached)
	* Detached: No mention
	* Semi-Detached: Yes
4. **Storey**: Not specified (single or double storey not mentioned)
5. **Status**: Under-construction
6. **Land_size**: 0.0758ac - 0.0790ac
7. **Floor_size**: 1,215.23 sq ft
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 2 toilets (assuming bathrooms)
10. **Land_type**: Kekal (leasehold not mentioned)"
"137","Here are the extracted details:

**1. kampong:**
The kampong (village) mentioned is: Tg Nangka

**2. price:**
The price range is:
- B$250,000.00
- B$258,000.00

**3. type:**
The types of properties are:
- Detached house
- Apartment, bungalow, and detached are not mentioned as specific types; however, semi-detached is also not mentioned but one can imply that it is a detached house.

**4. storey:**
It is a Double Storey property

**5. status:**
The status of the property is:
- Proposed 

**6. land_size:**
The land size is:
- 0.151ac (approximate)
- 0.146ac (approximate)

**7. floor_size:**
The floor size is:
- 2,487 sq ft

**8. beds:**
The number of bedrooms is:
- 4 rooms 

**9. baths:**
The number of bathrooms is:
- 5 toilets 

**10. land_type:**
The type of land ownership is:
- Kekal (meaning perpetual or in perpetuity)"
"138","Here are the extracted details:

1. **Kampong:**
	* Pengkalan Batu
2. **Price:**
	* $125,000 for a land of 0.465 ekar (approx.)
	* or $65,000 for a land of 0.232 ekar (half of the above)
3. **Type:**
	* Not mentioned explicitly, but implied as a ""tanah"" (land) for sale
4. **Storey:**
	* Not specified
5. **Status:**
	* Proposed or ready for development (based on the term ""syarat perumahan am"", which implies that it's subject to certain conditions for residential use)
6. **Land_size:**
	* 0.465 ekar
	* 0.232 ekar (half of the above)
7. **Floor_size:**
	* Not specified
8. **Beds/Baths:**
	* Not specified
9. **Land_type:**
	* Leasehold for 55 years, with 29 years remaining
10. **Additional Remark:**
	* There are two lots of land for sale.
	* The buyer will need to satisfy certain conditions for residential use (as implied by ""syarat perumahan am"")."
"139","Here are the extracted details:

* **Kampong:** Lumapas
* **Price:** $212,000.00
* **Type:**
	+ Apartment: None mentioned
	+ Bungalow: Yes
	+ Detached: Yes
	+ Semi-detached: No
* **Storey:** Single storey
* **Status:** Nearly completed (not new, proposed, or under-construction)
* **Land_size:** 0.125 acres
* **Floor_size:** 1,370 sq ft
* **Beds:** 3 rooms
* **Baths:** 2 toilets
* **Land_type:** Kekal
* **Additional Remark:**
	+ Last unit available
	+ Nearly completed (indicating it's almost ready for occupation)"
"140","Here are the extracted details:

1. **Kampong**: Selayun (village in Brunei)
2. **Price**: B$267,000
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes, 1 unit detached house
	* Semi-detached: Not mentioned
4. **Storey**: Single storey (implied by ""1 unit"" and ""2300sqft"")
5. **Status**: New (not explicitly stated, but inferred from the context)
6. **Land_size**: 2300 sqft
7. **Floor_size**: N/A (no floor size mentioned, only land size)
8. **Beds**: 3 rooms (implied to be bedrooms)
9. **Baths**: 3 toilets (implied to be bathrooms)
10. **Land_type**: Leasehold (implied by the context of a sale price)
11. **Additional Remark**:
	* No additional remarks mentioned
12. **Caption**: '1 unit detached house at selayun 2300sqft 3 rooms 3 toilets b 267,000.00'"
"141","Here are the extracted details:

1. **Kampong**:
	* Sg Tilong
2. **Price**:
	* BDT 298,000 (negotiable)
3. **Type**:
	* Detached house
4. **Storey**:
	* Double storey
5. **Status**:
	* Under construction
6. **Land_size**:
	* 0.111ac - 0.142ac
7. **Floor_size**:
	* 2,297 sqft (sqfr)
8. **Beds**:
	* 4 rooms
9. **Baths**:
	* 3 toilets
10. **Land_type**:
	* Leasehold for Rakyat Jati (a specific ethnic group in Brunei) with a lease duration of 55 years
11. **Additional Remark**:
	* Suitable for Rakyat Jati
	* 2 car park spaces"
"142","Here are the extracted details:

* **Kampong**: Sg Tilong
* **Price**: Not mentioned explicitly, but implied to be RM 1,000 per month (note: this seems to be an incorrect currency symbol, it's likely Brunei dollars)
* **Type**:
	+ Apartment: No mention
	+ Bungalow: No mention
	+ Detached: Mentioned as a ""terrace house"" which is a type of detached house
	+ Semi-detached: No mention
* **Storey**: Single storey (implied by the description)
* **Status**: New (implied by the caption and the fact that it's for rent)
* **Land_size**: Not mentioned explicitly
* **Floor_size**: Not mentioned explicitly, but implied to be around 4 rooms x floor size (not specified)
* **Beds**: 4 bedrooms
* **Baths**: 4 toilets
* **Land_type**: Leasehold (implied by the fact that it's for rent and has a monthly price)
* **Additional Remark**:
	+ Can fit 4 cars
	+ Equipped with aircond, curtain heaters"
"143","Here are the extracted details:

**1. kampong**
- Identified kampong (village in Brunei): Kiarong

**2. price**
- Price: Not mentioned, but ""480 MNTH"" is mentioned, which appears to be a monthly rent.

**3. type**
- Types of properties:
  - Apartment
  - Flat (Studio)

**4. storey**
- Storey: Single storey (assuming the caption mentions ""studio flat"")

**5. status**
- Status: Available for rent (no construction or proposal details mentioned)

**6. land_size**
- Land size: Not mentioned

**7. floor_size**
- Floor size: Not mentioned, but a studio flat is assumed to be small in size.

**8. beds**
- Number of bedrooms: 1 (assuming a studio flat has one room)

**9. baths**
- Number of bathrooms: Not explicitly mentioned, but likely to be one bathroom for the studio flat

**10. land_type**
- Land type: Leasehold is not mentioned specifically in the caption, but it is implied as ""480 MNTH"" suggests a monthly rental agreement.

**11. Additional Remark**
- The remaining details:
  - Water, electricity, and air conditioner are included in the rent.
  - No other information about the property's features or amenities is provided."
"144","Here are the extracted details:

1. **Kampong/Village**: Jerudong
2. **Price**: 
	* $358,000
	* $365,000 (two price options)
3. **Type**:
	* Detached house
4. **Storey**: Double storey
5. **Status**: New/Available
6. **Land Size**: 2803 sqft
7. **Floor Size**: 2803 sqft (same as land size, likely to be a mistake or the unit is on a large plot)
8. **Beds**: 4 rooms (assuming 4 bedrooms)
9. **Baths**: 3 toilets (assuming 3 bathrooms)
10. **Land Type**: Kekal
11. **Additional Remark**:
	* Only two units left
	* Waiting for occupation (OP)"
"145","Here are the extracted details:

* **Kampong**: Bunut
* **Price**:
	+ Original price: Not mentioned
	+ Last price: $255k (negotiable)
	+ Price for last unit: $2300 sqft with a value of $127.5k (not clear how it's derived, but likely intended to mean the price per square foot is around $55.9k/sqft or that the total floor area is 4 units x 2300sqft = 9200sqft valued at $255k)
* **Type**:
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Yes, a double storey detached house (but note this may be referring to multiple houses or the one referred to as ""last unit"")
	+ Semi-detached: Not mentioned
* **Storey**: Double storey
* **Status**: Proposed
* **Land_size**: 0.1 acres (Kekal)
* **Floor_size**: 2300 sqft per house/unit (4 units in total, but not clear if this is the total floor area or each unit's floor area)
* **Beds**: 4 rooms (assuming bedrooms)
* **Baths**: 4 toilets (assuming bathrooms)
* **Land_type**: Kekal
* **Additional Remark**: The remaining details are unclear without more context."
"146","Here are the extracted details:

1. **Kampong**: Mulaut
2. **Price**: $158,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: Yes (semi-detached)
	* Detached: No
	* Semi-detached: Yes
4. **Storey**: Single storey
5. **Status**: Proposed
6. **Land_size**: 0.05 acres (approximately 2043 sq ft)
7. **Floor_size**: 900 sq ft
8. **Beds**: Not specified (but mentioned as having ""3 rooms"")
9. **Baths**: 2 toilets
10. **Land_type**: Kekal
11. **Additional Remark**:
	* Single storey
	* Semi-detached bungalow
	* Proposed"
"147","Here are the extracted details:

1. **Kampong**: Katok (village in Brunei)
2. **Price**: $700/month
3. **Type**:
	* Apartment
4. **Storey**: 2nd floor (not explicitly stated as single or double storey, but mentioned as 2nd floor)
5. **Status**: Not specified, but implied to be available for rent
6. **Land_size**: Not provided
7. **Floor_size**: Not provided
8. **Beds**: 1 (assuming ""one room apartment"")
9. **Baths**: Not specified (presumably 1 bathroom, considering it's a one-room apartment)
10. **Land_type**: Not provided
11. **Additional Remark**:
	* Fully furnished
12. **Caption**: 'katok one room apartment for rent 2nd floor fully furnished $700/month'"
"148","Here are the extracted details:

1. **Kampong:**
	* Salar (village in Brunei)
2. **Price:**
	* Middle price: $148,000.00
	* Corner price: Not explicitly mentioned (but it's likely to be higher than middle price)
3. **Type:**
	* Bungalow (specifically a terrace bungalow)
4. **Storey:**
	* Single storey
5. **Status:**
	* Under-construction (starting in early 2022)
6. **Land size:**
	* 0.0466ac - 0.086ac
7. **Floor size:**
	* 1074sqft - 1112sqft
8. **Beds:**
	* 3 rooms
9. **Baths:**
	* 2 toilets (no showers mentioned)
10. **Land type:**
	* Kekal (a land ownership status in Brunei)
11. **Additional Remark:**
	* Water tank pump, water heater, kitchen cabinet B included
12. **Purchase agreement:**
	* Free sale purchase agreement"
"149","Here are the extracted details:

* **Kampong**: Jangsak
* **Price**: RM 1,000 per month (nett)
* **Type**:
	+ Apartment: No
	+ Bungalow: No
	+ Detached: No
	+ Semi-detached: Yes
* **Storey**: Double storey
* **Status**: Proposed (although it's for rent, implying it may not be available yet or the status might change)
* **Land_size**: Not mentioned
* **Floor_size**: Not explicitly mentioned (but 3 rooms are mentioned, indicating some floor space)
* **Beds**: 3 rooms (assuming bedrooms, although it's not clear if they're en-suite or shared bathrooms)
* **Baths**: Not mentioned
* **Land_type**: Leasehold is implied, but the specific type is Kekal (in perpetuity)
* **Additional Remark**: Furnished, strategic area, modern and elegant decoration, newly renovated"
"150","Here are the extracted details:

**1. Kampong**: 
None mentioned, but Katok is a village in Brunei.

**2. Price**: $700/month (rental)

**3. Type**: Apartment

**4. Storey**: Single storey (since it's a one-room apartment)

**5. Status**: No specific status mentioned, but implied to be available for rent as it is ""for rent""

**6. Land_size**: Not explicitly mentioned

**7. Floor_size**: No specific floor size mentioned, but implies a small size given the description of an ""one room"" apartment.

**8. Beds**: 1 (assuming one room)

**9. Baths**: Not explicitly mentioned, but might be implied as part of the fully furnished setup.

**10. Land_type**: Not explicitly mentioned

**11. Additional Remark**: Fully furnished and for rent"
"151","Here are the extracted details:

**1. Kampong:** Lumapas (village in Brunei)

**2. Price:** B$228,000.00

**3. Type:**
- Apartment: Not mentioned
- Bungalow: Not mentioned
- Detached: Yes, double storey detached house
- Semi-detached: No

**4. Storey:** Double storey

**5. Status:** Ready to build (Note: ""B"" in the caption might indicate ""Building"", but it's unclear)

**6. Land size:**
- 2 units left (not clear what this means, but assuming two different sizes)
- 0.113ac (first unit: approximately 57,144 sq ft or 5,308 sq m)
- 0.125ac (second unit: approximately 61,385 sq ft or 5,716 sq m)

**7. Floor size:** Not explicitly mentioned, but floor size is not provided separately from land size

**8. Beds:** 4 rooms (assuming bedrooms, but not clear if all are bedrooms)

**9. Baths:** 5 toilets (assuming bathrooms, not clear how many are actual bathrooms and how many are just toilets)

**10. Land type:** Kekal (land in perpetuity)"
"152","Here are the extracted details:

* **Kampong:** Kasat
* **Price:** $130,000.00
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Yes
	+ Detached: Not mentioned
	+ Semi-detached: Yes
* **Storey:** Not explicitly stated (implied to be single storey as it is a bungalow)
* **Status:** Under-construction
* **Land_size:** 
	+ Square feet: 1,215.23 sq ft
	+ Acres: 0.0758ac-0.0790ac (approximately)
* **Floor_size:** Not explicitly stated (implied to be the same as land size)
* **Beds:** 4 rooms (assuming bedrooms)
* **Baths:** 2 toilets (assuming bathrooms)
* **Land_type:** Kekal
* **Additional Remark:**
	+ Units left: 2 units remaining
	+ Total number of units: Not explicitly stated
	+ Location details: Under-construction"
"153","Here are the extracted details:

1. **Kampong**:
	* Mentioned: Kilanas
2. **Price**:
	* Price: $400,000.00
3. **Type**:
	* Detached house
4. **Storey**:
	* Double storey
5. **Status**:
	* New
6. **Land_size**:
	* 0.132 acres (approx.)
7. **Floor_size**:
	* 3500 sqft
8. **Beds**:
	* 5 rooms (assuming bedrooms)
9. **Baths**:
	* Not specified
10. **Land_type**:
	* Kekal
11. **Additional Remark**:
	* Last unit ready for move-in, located at Kampong Kilanas."
"154","Here are the extracted details:

**Kampong:**
- Kampong mentioned: **Kilanas-Mulaut**

**Price:**
- Price: $343,000 (negotiable)

**Type:**
- Type of property: Semi-detached house
- Notable features: Double storey, 4 bedrooms, 4 toilets

**Storey:**
- Number of storeys: **Double Storey**

**Status:**
- Status: Ready to move in (last unit available)

**Land_size:**
- Land size: 0.109 acres ( approx.)

**Floor_size:**
- Floor area: Approx. 2551 sqft

**Beds:**
- Number of bedrooms: **4**

**Baths:**
- Number of toilets/bathrooms: **4**

**Land_type:**
- Type of land ownership: **Kekal** (land in perpetuity)

**Additional Remark:**
- Additional details:
  - Build-in cabinet for kitchen
  - Wardrobe for master bedroom
  - Flooring for first floor bedrooms
  - Water tank and water pump"
"155","Here are the extracted details:

1. **kampong**: Sengkurong
2. **price**: $318,000.00
3. **type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes
	* Semi-detached: Not mentioned
4. **storey**: Double storey
5. **status**: Under construction
6. **land_size**: 0.128-0.131ac (approximately 51,300 sq ft)
7. **floor_size**: 2,745 sq ft
8. **beds**: 4 rooms (assuming 4 bedrooms)
9. **baths**: 5 toilets (assuming 5 bathrooms)
10. **land_type**: Kekal (a type of land tenure in Brunei)
11. **Additional Remark**:
	* Estimated completion date: April 2022
	* Remaining details not specified"
"156","Here are the extracted details:

* **kampong**: Not mentioned (no specific kampong name is provided)
* **price**: $750/month
* **type**:
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: Not mentioned (but ""madang house"" suggests a semi-detached or semi-independent house)
* **storey**: Not specified (single or double storey is not mentioned)
* **status**: Not specified (new, proposed, or under-construction is not mentioned)
* **land_size**: Not provided
* **floor_size**: Not provided
* **beds**: Not specified (number of bedrooms is not mentioned)
* **baths**: Not specified (number of bathrooms is not mentioned)
* **land_type**: Not specified (leasehold, in perpetuity, or kekal is not mentioned)
* **Additional Remark**: 
	+ Included (presumably in the rent or package)"
"157","Here are the extracted details:

1. **Kampong (Village in Brunei)**:
	* Bengkurong
2. **Price**:
	* Proposed
	* Corner Unit: $188,000.00
	* Middle Unit: $168,000.00
3. **Type**:
	* Terrace house (double storey)
4. **Storey**:
	* Double Storey
5. **Status**:
	* Proposed
6. **Land Size**:
	* Not mentioned
7. **Floor Size**:
	* 1600 sqft
8. **Beds**:
	* Not mentioned (implied to be a residential property, but specific details not provided)
9. **Baths**:
	* Not mentioned
10. **Land Type**:
	* Kekal
11. **Additional Remark**:
	* Corner unit and middle unit available
	* Double storey"
"158","Here are the extracted details:

1. **Kampong:**
	* Tutong Luagan Duduk (village in Brunei)
2. **Price:**
	* B$ 155,000.00 - B$ 165,000.00
3. **Type:**
	* Double storey terrace house
4. **Storey:**
	* Double storey
5. **Status:**
	* Proposed
6. **Land_size:**
	* Not mentioned (but mentioned as ""1780sqft-1900sqft"" for floor size)
7. **Floor_size:**
	* 1780 sqft - 1900 sqft
8. **Beds:**
	* 4 rooms
9. **Baths:**
	* 3 toilets
10. **Land_type:**
	* Kekal (in perpetuity)
11. **Additional Remark:**
	* The remaining details are not provided, but it's likely related to additional features or conditions.
12. **Storey Type:**
	* Terrace house"
"159","Here are the extracted details:

**kampong:** Subok (village in Brunei)

**price:** $185,000.00

**type:**

* Apartment: No
* Bungalow: No
* Detached: No
* Semi-detached: No
* Terrace house: Yes

**storey:** Double storey

**status:** Under-construction

**land_size:**

* 0.068 ac (approximate)
* 0.11 ac (approximate)

**floor_size:** 1,884 sq ft

**beds:** 4 bedrooms

**baths:** 4 bathrooms

**land_type:** Kekal"
"160","Here are the extracted details:

* **Kampong:** Tutong Luagan Duduk
* **Price:** 
	+ Proposed: B$220,000.00 to B$255,000.00
* **Type:** Detached house (double storey)
* **Storey:** Double storey
* **Status:** Proposed
* **Land_size:** 0.08ac - 0.1ac (approximately 3,200 sqm - 4,000 sqm)
* **Floor_size:** 2,300sqft
* **Beds:** 4 rooms (assuming bedrooms, but not explicitly stated)
* **Baths:** 3 toilets (assuming bathrooms, but not explicitly stated)
* **Land_type:** Kekal (a type of land tenure in Brunei)
* **Additional Remark:** Not applicable (no additional details provided)"
"161","Here are the extracted details:

1. **Kampong (Village in Brunei)**: Tanah Jambu
2. **Price**: 
	* Rent: RM 900 per month (no price tag)
3. **Type**:
	* Apartment: No mention
	* Bungalow: No mention
	* Detached: No mention
	* Semi-detached: Yes, a double storey semi-detached unit
4. **Storey**: Double storey
5. **Status**: For rent (no new or under-construction status)
6. **Land Size**: Not mentioned
7. **Floor Size**: Not mentioned
8. **Beds (Bedrooms)**: 4 rooms
9. **Baths (Bathrooms)**: 3 toilets
10. **Land Type**: Leasehold (implied, but not explicitly stated as ""Leasehold"")
11. **Additional Remark**:
	* Rent for a double storey semi-detached unit"
"162","Here are the extracted details:

**Kampong:**
- Kampong Pengkalan Batu, specifically Kg Limau Manis (note: there might be multiple kampongs with this name, but based on the context, it's likely referring to this one)

**Price:**
- $60,000

**Type:**
- Not explicitly mentioned, but based on common Brunei terminology:
  - No specific mention of apartment, bungalow, detached, or semi-detached.

**Storey:**
- Not mentioned

**Status:**
- Proposed (based on the phrase ""syarat perumahan am"", which means ""am condition"" or ""precondition for residential"")

**Land_size:**
- 0.465 ekar and 0.232 ekar (2 lots)

**Floor_size:**
- Not mentioned

**Beds:**
- Not mentioned

**Baths:**
- Not mentioned

**Land_type:**
- Leasehold with 55-year validity and 29 years remaining (based on the phrase ""jenis kebenaran lease 55 tahun baki 29 tahun"")

**Additional Remark:**
- The description mentions two lots of land available for sale, with a total area of 0.465 ekar and 0.232 ekar.

Please note that some details might be missing or unclear due to the provided text not explicitly stating them."
"163","Here are the extracted details:

**Kampong/Village:**
- Selayun (kampong/village in Brunei)

**Price Details:**
- Price: $358,000
- Type of price: Waiting OP (Open for Purchase?)

**Type of Property:**
- Apartment: No
- Bungalow: No
- Detached: Yes
- Semi-detached: No

**Storey:**
- Single/Double storey: Double storey

**Status:**
- New: No
- Proposed: No
- Under-construction: No (waiting OP implies it's ready for sale)

**Land Details:**
- Land_size: 0.1 acre
- land_type: Kekal (In perpetuity, a type of tenure in Brunei)

**Property Size and Features:**
- floor_size: 2,803 sq ft
- beds: 4 rooms (assuming bedrooms)
- baths: 3 toilets

**Additional Remarks:**
- Additional information not extracted"
"164","Here are the extracted details:

**Kampong:** 
- Bunut (village in Brunei)

**Price:**
- Proposed price: $245k
- Price range: $230k - $275k

**Type:**
- Apartment: Not mentioned
- Bungalow: Not mentioned
- Detached: Yes, 4 units double storey detached house
- Semi-detached: Not mentioned

**Storey:**
- Double storey

**Status:**
- Proposed

**Land_size:**
- 0.1 acres (approximately 4357 sqft)

**Floor_size:**
- Each unit has a floor size of approximately 2300 sqft

**Beds:**
- Number of bedrooms: Not explicitly mentioned, but implied to be 4 (as it says ""4 rooms"")

**Baths:**
- Number of bathrooms: Not explicitly mentioned, but implied to be 4 (as it says ""4 toilets"")

**Land_type:**
- Land type: Kekal

**Additional Remark:**
- The remaining details are:
	+ Units left: 2
	+ Location: Bunut"
"165","Here are the extracted details:

1. **Kampong**: Tungku (village in Brunei)
2. **Price**: $800/month
3. **Type**:
	* Apartment, Bungalow, Detached, Semi-detached (not specified which one)
4. **Storey**: Not specified (single or double storey)
5. **Status**: For Rent
6. **Land_size**: Not specified
7. **Floor_size**: Not specified
8. **Beds**: Not specified (number of bedrooms)
9. **Baths**: Not specified (number of bathrooms)
10. **Land_type**: Not specified (Leasehold, In perpetuity, or Kekal)
11. **Additional Remark**: Remaining details not provided in the caption.
12. **Caption**: 'tungku terrace for rent 800 mnth'"
"166","Here are the extracted details:

**Kampong:** Junjongan

**Price:**

* Original price: $188,000
* Current offer price: $168,000

**Type:** 

* Detached house

**Storey:** Double storey

**Status:** Proposed

**Land_size:** 0.0750ac (or 0.0689ac)

**Floor_size:** 1,556.86 sq ft

**Beds:** 3 rooms

**Baths:** 3 toilets

**Land_type:** Kekal (in perpetuity)

**Additional Remark:**

* Now offering at $168,000"
"167","Here are the extracted details:

**Kampong:** 
- Lumapas (Brunei village)

**Price:**
- $212,000.00

**Type:**
- Apartment: No
- Bungalow: Yes
- Detached: Yes
- Semi-detached: No

**Storey:**
- Single storey

**Status:**
- Proposed: No
- Under-construction: Nearly completed (last unit)

**Land_size:** 
- 0.125 acres

**Floor_size:**
- 1,370 sq ft

**Beds:**
- 3 rooms

**Baths:**
- 2 toilets

**Land_type:**
- Kekal

**Additional Remark:**

(Note: I was unable to extract the ""Additional Remark"" as it seems to be a general comment rather than specific details)"
"168","Here are the extracted details:

* **Kampong**: Kiarong
* **Price**: $235,000.00
* **Type**:
	+ Apartment: No
	+ Bungalow: No
	+ Detached: No
	+ Semi-detached: Yes
* **Storey**: Three storey
* **Status**: Ready to move in (no new/proposed/under-construction status)
* **Land Size**: Not mentioned
* **Floor Size**: 2188 sq ft
* **Beds**: 4 rooms
* **Baths**: 5 toilets
* **Land Type**: Kekal (In perpetuity)
* **Additional Remark**:
	+ Ready to move in
	+ Semi-detached house"
"169","Here are the extracted details:

1. **Kampong**:
	* Not mentioned in this specific text, but ""Jerudong"" is a kampong/village in Brunei.
2. **Price**:
	* RM 1,500 (monthly rent)
3. **Type**:
	* House (not apartment, bungalow, detached, semi-detached specifically)
4. **Storey**:
	* Not mentioned
5. **Status**:
	* For rent (no mention of new, proposed, or under-construction)
6. **Land_size**:
	* Not mentioned
7. **Floor_size**:
	* Not mentioned
8. **Beds**:
	* No specific number mentioned, but ""can fit 6 cars"" suggests a large house with possibly multiple bedrooms
9. **Baths**:
	* Not mentioned
10. **Land_type**:
	* Leasehold (not explicitly stated, but based on common practices in Brunei)
11. **Additional Remark**:
	* For rent, unfurnished, comes with aircond and curtain, suitable for parking 6 cars
12. **Caption**:
	* ""Jerudong house for rent with aircond curtain can fit 6 cars unfurnished 1500 mnth"""
"170","Here are the extracted details:

1. **Kampong**:
	* Jerudong (village in Brunei)
2. **Price**: 
	* B$480,000.00
3. **Type**:
	* Detached house
4. **Storey**:
	* Double storey
5. **Status**:
	* Proposed
6. **Land_size**:
	* 0.177 acres
7. **Floor_size**:
	* Not mentioned (only floor size is not extracted)
8. **Beds**:
	* 5 rooms (assuming bedrooms)
9. **Baths**:
	* 5 toilets (assuming bathrooms)
10. **Land_type**:
	* Kekal
11. **Additional Remark**:
	* The remaining details, which are:
		+ Located at Jerudong
		+ Double storey
		+ 3,226 sq ft
12. **Note**: The floor size is mentioned as ""3,226 sq ft"" but not explicitly as a floor area."
"171","Here are the extracted details:

1. **Kampong**: Kiarong
2. **Price**:
	* Rent: RM 1350 per month (nett)
3. **Type**: 
	* Apartment
4. **Storey**: Not specified (but there is a lift, implying it's likely a high-rise building)
5. **Status**: For rent (partial furnished), not new, proposed, or under-construction.
6. **Land Size**: Not mentioned
7. **Floor Size**: Not mentioned
8. **Beds**: 3 rooms (assuming bedrooms)
9. **Baths**: 2 toilets (assuming bathrooms)
10. **Land Type**: Not specified
11. **Additional Remark**:
	* Partially furnished
	* Strictly no pets allowed
	* 2 covered car parks
12. **Other details**:
	* No mention of bungalow, detached, or semi-detached type.
	* No specific information on storey, land size, floor size, and land type."
"172","Here are the extracted details:

1. **Kampong**: Jerudong
2. **Price**: B$288,000.00 (negotiable)
3. **Type**:
	* Apartment: No mention
	* Bungalow: No mention
	* Detached: Mentioned as ""semi-detached""
	* Semi-detached: Yes
4. **Storey**: Double storey
5. **Status**: Under-construction
6. **Land size**: Not mentioned explicitly, but implied to be related to the price and type of property
7. **Floor size**: Not specified
8. **Beds**: 4 rooms (implied to be bedrooms)
9. **Baths**: 5 toilets (implied to be bathrooms)
10. **Land_type**: Kekal (leasehold in perpetuity)
11. **Additional Remark**:
	* Under construction
	* 4 rooms
	* 5 toilets"
"173","Here are the extracted details:

* **Kampong**: Tg Nangka
* **Price**:
	+ Original price: $268,000
	+ Current price: $258,000
* **Type**: Detached house
* **Storey**: Double storey
* **Status**: Under-construction (last unit)
* **Land_size**: 0.13 acres (approximately 5,200 sqft)
* **Floor_size**: 2,002.49 sqft
* **Beds**: 4 rooms
* **Baths**: 4 toilets
* **Land_type**: Kekal (a type of land tenure in Brunei)
* **Additional Remark**:
	+ Last unit available
	+ Now being sold at a discounted price"
"174","Here are the extracted details:

1. **Kampong**: Serasa
2. **Price**:
	* Cash: BND 120,000.00
	* Bank Loan/Government Loan also available (no price specified)
3. **Type**:
	* Apartment/ not mentioned
	* Bungalow/ yes
	* Detached/ no
	* Semi-detached/ no
4. **Storey**: Single storey
5. **Status**: Under-construction
6. **Land_size**: Not mentioned
7. **Floor_size**: Not mentioned (but described as a ""middle unit"")
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 2 toilets (assuming bathrooms)
10. **Land_type**: Kekal (in perpetuity)
11. **Additional Remark**:
	* Last unit available
	* 4 rooms, 2 toilets"
"175","Here are the extracted details:

* **Kampong (Village in Brunei):** Jerudong
* **Price:** $139,000.00
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Yes
	+ Detached: Not applicable
	+ Semi-detached: Not applicable
* **Storey:** Single storey (3 rooms)
* **Status:** Under construction
* **Land Size:** 0.036ac (approximately 14,656 sq ft)
* **Floor Size:** 1000 sq ft
* **Beds:** 3 bedrooms
* **Baths:** 2 toilets
* **Land Type:** Kekal
* **Additional Remark:**
	+ Last unit estimate complete October 2022
	+ Middle location
	+ Leasehold: Not mentioned (implied to be Kekal)"
"176","Here are the extracted details:

* **Kampong:** Lumapas
* **Price:** B$248,000.00
* **Type:**
	+ Apartment: No mention
	+ Bungalow: No mention
	+ Detached: Yes (double storey)
	+ Semi-detached: No mention
* **Storey:** Double storey
* **Status:** Proposed
* **Land_size:** 0.135 acres (approximately 5475 sq ft, but more accurately specified in square feet as 2114.89 sq ft)
* **Floor_size:** 2114.89 sq ft
* **Beds:** 4 rooms
* **Baths:** 3 toilets
* **Land_type:** Kekal
* **Additional Remark:**
	+ The remaining details are:
		- Remaining land area: No mention, but based on the caption, it seems that there might be additional information available, but not provided in the question.
		- Any other features or specifications: None mentioned."
"177","Here are the extracted details:

1. **Kampong**: Subok (village in Brunei)
2. **Price**: $410,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: Yes
	* Semi-detached: No
4. **Storey**: Double storey
5. **Status**: New (not proposed or under-construction)
6. **Land size**: 0.163 acres
7. **Floor size**: Not specified (only floor number is mentioned, not area)
8. **Beds**: 5 rooms (assuming 5 bedrooms)
9. **Baths**: Not specified
10. **Land type**: Leasehold (not In perpetuity or Kekal)
11. **Additional Remark**: None specific, just ""double storey detached house"""
